date,value1
2018-04-17,8140.71
2018-04-17,8338.42
2018-04-17,8371.15
2018-04-17,8285.96
2018-04-17,8197.8
2018-04-17,8298.69
2018-04-17,8880.23
2018-04-17,8997.57
2018-04-22,9001.64
2018-04-23,8958.55
